doc_id,sentence_id,entity_id,text,type,charOffset,source
DDI-MedLine.d220,DDI-MedLine.d220.s2,DDI-MedLine.d220.s2.e0,Luteolin,drug_n,0-7,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s2,DDI-MedLine.d220.s2.e1,apigenin,drug_n,13-20,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s3,DDI-MedLine.d220.s3.e0,luteolin,drug_n,27-34,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s3,DDI-MedLine.d220.s3.e1,apigenin,drug_n,40-47,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s4,DDI-MedLine.d220.s4.e0,luteolin,drug_n,57-64,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s4,DDI-MedLine.d220.s4.e1,apigenin,drug_n,70-77,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e0,luteolin,drug_n,38-45,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e1,apigenin,drug_n,51-58,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e2,luteolin,drug_n,80-87,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e3,apigenin,drug_n,93-100,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e4,luteolin,drug_n,196-203,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s6,DDI-MedLine.d220.s6.e5,apigenin,drug_n,209-216,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e0,flavonoids,drug_n,26-35,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e1,flavonols,drug_n,48-56,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e2,flavones,drug_n,59-66,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e3,isoflavone,drug_n,69-78,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e4,flavanone,drug_n,81-89,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e5,flavanonols,drug_n,92-102,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e6,catechins,drug_n,108-116,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e7,luteolin,drug_n,141-148,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s7,DDI-MedLine.d220.s7.e8,apigenin,drug_n,154-161,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s8,DDI-MedLine.d220.s8.e0,flavonoids,drug_n,61-70,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d220,DDI-MedLine.d220.s12,DDI-MedLine.d220.s12.e0,flavonoids,drug_n,49-58,DDICorpus/Test/Test for DrugNER task/MedLine/21901983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s0,DDI-MedLine.d191.s0.e0,cisplatin,drug,108-116,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s1,DDI-MedLine.d191.s1.e0,cisplatin,drug,111-119,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s2,DDI-MedLine.d191.s2.e0,cisplatin,drug,72-80,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s6,DDI-MedLine.d191.s6.e0,cisplatin,drug,15-23,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s6,DDI-MedLine.d191.s6.e1,cisplatin,drug,131-139,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s7,DDI-MedLine.d191.s7.e0,cisplatin,drug,90-98,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d191,DDI-MedLine.d191.s7,DDI-MedLine.d191.s7.e1,cisplatin,drug,169-177,DDICorpus/Test/Test for DrugNER task/MedLine/21837983.xml
DDI-MedLine.d187,DDI-MedLine.d187.s0,DDI-MedLine.d187.s0.e0,cannabinoid,drug_n,16-26,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s5,DDI-MedLine.d187.s5.e0,phytocannabinoids,drug_n,76-92,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s5,DDI-MedLine.d187.s5.e1,THC,drug_n,141-143,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s6,DDI-MedLine.d187.s6.e0,THC,drug_n,58-60,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s7,DDI-MedLine.d187.s7.e0,cannabinoids,drug_n,33-44,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s7,DDI-MedLine.d187.s7.e1,THC,drug_n,87-89,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s9,DDI-MedLine.d187.s9.e0,cannabinoids,drug_n,30-41,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d187,DDI-MedLine.d187.s10,DDI-MedLine.d187.s10.e0,cannabinoid,drug_n,25-35,DDICorpus/Test/Test for DrugNER task/MedLine/21850885.xml
DDI-MedLine.d183,DDI-MedLine.d183.s0,DDI-MedLine.d183.s0.e0,MPTP,drug_n,38-41,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s0,DDI-MedLine.d183.s0.e1,"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine",drug_n,44-88,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s5,DDI-MedLine.d183.s5.e0,"1-methyl-4-phenyl-1,2,3,6- tetrahydropyridine",drug_n,58-102,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s5,DDI-MedLine.d183.s5.e1,MPTP,drug_n,105-108,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s6,DDI-MedLine.d183.s6.e0,MPTP,drug_n,56-59,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s6,DDI-MedLine.d183.s6.e1,MPTP,drug_n,222-225,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s7,DDI-MedLine.d183.s7.e0,MPTP,drug_n,54-57,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d183,DDI-MedLine.d183.s8,DDI-MedLine.d183.s8.e0,MPTP,drug_n,109-112,DDICorpus/Test/Test for DrugNER task/MedLine/21731080.xml
DDI-MedLine.d198,DDI-MedLine.d198.s0,DDI-MedLine.d198.s0.e0,alcohol,drug,21-27,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s1,DDI-MedLine.d198.s1.e0,alcohol,drug,84-90,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s2,DDI-MedLine.d198.s2.e0,alcohol,drug,263-269,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s3,DDI-MedLine.d198.s3.e0,methanol,drug_n,105-112,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s3,DDI-MedLine.d198.s3.e1,ethanol,drug,118-124,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s4,DDI-MedLine.d198.s4.e0,alcohol,drug,33-39,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s4,DDI-MedLine.d198.s4.e1,alcohol,drug,223-229,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s5,DDI-MedLine.d198.s5.e0,alcohol,drug,111-117,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s6,DDI-MedLine.d198.s6.e0,ethanol,drug,104-110,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s7,DDI-MedLine.d198.s7.e0,alcohol,drug,42-48,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d198,DDI-MedLine.d198.s8,DDI-MedLine.d198.s8.e0,alcohol,drug,148-154,DDICorpus/Test/Test for DrugNER task/MedLine/21730162.xml
DDI-MedLine.d206,DDI-MedLine.d206.s0,DDI-MedLine.d206.s0.e0,curcumin,drug_n,46-53,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s0,DDI-MedLine.d206.s0.e1,fluoxetine,drug,80-89,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s0,DDI-MedLine.d206.s0.e2,imipramine,drug,95-104,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s1,DDI-MedLine.d206.s1.e0,Curcumin,drug_n,0-7,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s2,DDI-MedLine.d206.s2.e0,curcumin,drug_n,58-65,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s2,DDI-MedLine.d206.s2.e1,fluoxetine,drug,92-101,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s2,DDI-MedLine.d206.s2.e2,imipramine,drug,107-116,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e0,curcumin,drug_n,155-162,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e1,curcumin,drug_n,184-191,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e2,fluoxetine,drug,214-223,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e3,imipramine,drug,245-254,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e4,curcumin,drug_n,276-283,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e5,fluoxetine,drug,300-309,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e6,curcumin,drug_n,334-341,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s3,DDI-MedLine.d206.s3.e7,imipramine,drug,358-367,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s5,DDI-MedLine.d206.s5.e0,curcumin,drug_n,134-141,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s6,DDI-MedLine.d206.s6.e0,curcumin,drug_n,14-21,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s6,DDI-MedLine.d206.s6.e1,fluoxetine,drug,58-67,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s6,DDI-MedLine.d206.s6.e2,imipramine,drug,73-82,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s6,DDI-MedLine.d206.s6.e3,fluoxetine,drug,115-124,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s6,DDI-MedLine.d206.s6.e4,imipramine,drug,130-139,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s7,DDI-MedLine.d206.s7.e0,Curcumin,drug_n,0-7,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s8,DDI-MedLine.d206.s8.e0,Curcumin,drug_n,0-7,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d206,DDI-MedLine.d206.s8,DDI-MedLine.d206.s8.e1,antidepressant,group,25-38,DDICorpus/Test/Test for DrugNER task/MedLine/21928724.xml
DDI-MedLine.d215,DDI-MedLine.d215.s0,DDI-MedLine.d215.s0.e0,antibiotics,group,92-102,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s5,DDI-MedLine.d215.s5.e0,antibiotics,group,197-207,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s12,DDI-MedLine.d215.s12.e0,antibiotic,group,9-18,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s12,DDI-MedLine.d215.s12.e1,Gentamicin,drug,28-37,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s12,DDI-MedLine.d215.s12.e2,Cephalothin,drug,52-62,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s12,DDI-MedLine.d215.s12.e3,Ceftriaxone,drug,77-87,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s12,DDI-MedLine.d215.s12.e4,Nystatin,drug,102-109,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s13,DDI-MedLine.d215.s13.e0,antibiotics,group,142-152,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d215,DDI-MedLine.d215.s14,DDI-MedLine.d215.s14.e0,antibiotics,group,93-103,DDICorpus/Test/Test for DrugNER task/MedLine/21888227.xml
DDI-MedLine.d142,DDI-MedLine.d142.s0,DDI-MedLine.d142.s0.e0,glycyrrhiza extract,drug_n,12-30,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s0,DDI-MedLine.d142.s0.e1,daphnetin,drug_n,64-72,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s1,DDI-MedLine.d142.s1.e0,glycyrrhiza extract,drug_n,29-47,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s1,DDI-MedLine.d142.s1.e1,daphnetin,drug_n,102-110,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s2,DDI-MedLine.d142.s2.e0,daphnetin,drug_n,49-57,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s2,DDI-MedLine.d142.s2.e1,glycyrrhiza extract,drug_n,63-81,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s2,DDI-MedLine.d142.s2.e2,daphnetin,drug_n,103-111,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s3,DDI-MedLine.d142.s3.e0,daphnetin,drug_n,27-35,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s5,DDI-MedLine.d142.s5.e0,daphnetin,drug_n,58-66,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d142,DDI-MedLine.d142.s6,DDI-MedLine.d142.s6.e0,daphnetin,drug_n,52-60,DDICorpus/Test/Test for DrugNER task/MedLine/21761739.xml
DDI-MedLine.d182,DDI-MedLine.d182.s0,DDI-MedLine.d182.s0.e0,o-cymen-5-ol,drug_n,25-36,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s0,DDI-MedLine.d182.s0.e1,zinc,drug,42-45,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s2,DDI-MedLine.d182.s2.e0,o-cymen-5-ol,drug_n,57-68,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s2,DDI-MedLine.d182.s2.e1,zinc,drug,70-73,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s3,DDI-MedLine.d182.s3.e0,o-Cymen-5-ol,drug_n,0-11,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s3,DDI-MedLine.d182.s3.e1,zinc gluconate,drug,17-30,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s11,DDI-MedLine.d182.s11.e0,o-Cymen-5-ol,drug_n,0-11,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s13,DDI-MedLine.d182.s13.e0,Zinc gluconate,drug,0-13,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s17,DDI-MedLine.d182.s17.e0,o-cymen-5-ol,drug_n,43-54,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s17,DDI-MedLine.d182.s17.e1,zinc gluconate,drug,56-69,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s18,DDI-MedLine.d182.s18.e0,Zinc,drug,0-3,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s18,DDI-MedLine.d182.s18.e1,o-cymen-5-ol,drug_n,64-75,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s20,DDI-MedLine.d182.s20.e0,o-Cymen-5-ol,drug_n,0-11,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s20,DDI-MedLine.d182.s20.e1,zinc chloride,drug,13-25,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s21,DDI-MedLine.d182.s21.e0,zinc,drug,4-7,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s21,DDI-MedLine.d182.s21.e1,o-cymen-5-ol,drug_n,9-20,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s23,DDI-MedLine.d182.s23.e0,o-cymen-5-ol,drug_n,19-30,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d182,DDI-MedLine.d182.s23,DDI-MedLine.d182.s23.e1,zinc,drug,36-39,DDICorpus/Test/Test for DrugNER task/MedLine/21762153.xml
DDI-MedLine.d221,DDI-MedLine.d221.s0,DDI-MedLine.d221.s0.e0,psychotropic drug,group,28-44,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s1,DDI-MedLine.d221.s1.e0,etizolam,drug,33-40,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s1,DDI-MedLine.d221.s1.e1,phenobarbital,drug,43-55,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s1,DDI-MedLine.d221.s1.e2,promethazine,drug,58-69,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s1,DDI-MedLine.d221.s1.e3,chlorpromazine,drug,75-88,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s2,DDI-MedLine.d221.s2.e0,etizolam,drug,70-77,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s2,DDI-MedLine.d221.s2.e1,phenobarbital,drug,80-92,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s2,DDI-MedLine.d221.s2.e2,promethazine,drug,95-106,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s2,DDI-MedLine.d221.s2.e3,chlorpromazine,drug,112-125,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d221,DDI-MedLine.d221.s3,DDI-MedLine.d221.s3.e0,psychotropic drugs,group,75-92,DDICorpus/Test/Test for DrugNER task/MedLine/21887897.xml
DDI-MedLine.d197,DDI-MedLine.d197.s0,DDI-MedLine.d197.s0.e0,Vitamin D,group,1-9,DDICorpus/Test/Test for DrugNER task/MedLine/22010421.xml
DDI-MedLine.d197,DDI-MedLine.d197.s1,DDI-MedLine.d197.s1.e0,vitamin D,group,31-39,DDICorpus/Test/Test for DrugNER task/MedLine/22010421.xml
DDI-MedLine.d197,DDI-MedLine.d197.s4,DDI-MedLine.d197.s4.e0,vitamin D,group,41-49,DDICorpus/Test/Test for DrugNER task/MedLine/22010421.xml
DDI-MedLine.d197,DDI-MedLine.d197.s6,DDI-MedLine.d197.s6.e0,antiepileptic drugs,group,69-87,DDICorpus/Test/Test for DrugNER task/MedLine/22010421.xml
DDI-MedLine.d197,DDI-MedLine.d197.s6,DDI-MedLine.d197.s6.e1,taxol,brand,90-94,DDICorpus/Test/Test for DrugNER task/MedLine/22010421.xml
